1764,8,(486|568),1.0398288,[59|57|52]
1766,319,(30|724),1.7280005,[105|118|104]
917,152,(637|855),1.7559576,[235|245|236]
917,70,(189|0),3.321374,[81|31|26]
1753,275,(448|690),1.9544842,[121|107|69]
1764,120,(681|377),2.041499,[88|42|26]
1764,13,(258|371),2.7608767,[93|48|28]
917,177,(164|205),2.8385243,[96|45|27]
917,6,(828|875),1.6847066,[227|230|209]
917,45,(380|594),2.1318083,[182|167|134]
917,310,(530|712),1.0769038,[95|80|57]
917,128,(67|866),2.5638263,[79|76|54]
917,272,(714|569),2.552657,[228|232|214]
917,64,(488|537),1.3253158,[206|190|148]
1764,199,(156|837),1.8987609,[66|70|53]
1764,311,(429|263),1.2968562,[237|160|103]
